t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
102,A0,0.6338336239258678,0.19837145608759826,0.5606863154017698,0.19580971767103128,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
103,A0,0.6472524343462115,0.08856692332299801,0.5698174177464899,0.08833607169358541,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
104,A0,0.6336095423389212,-0.02929301493183356,0.5605326588488027,-0.02928463921615292,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
105,A0,0.5978955015556053,-0.15406769879837423,0.5355503604837353,-0.1528601354229145,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
106,A0,0.5439570270763475,-0.28183159569030625,0.49597744185494247,-0.274599415355106,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
107,A0,0.4746900752439043,-0.4044273373217575,0.4419810083904336,-0.3837307774506513,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
108,A0,0.39262880536268835,-0.51027875913242,0.37362428338541004,-0.47016236607713874,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
109,A0,0.3000468132005931,-0.5885199182499189,0.29135545235750415,-0.5288302822324175,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
110,A0,0.19853392113734114,-0.6337895054806713,0.19596594860448838,-0.5606560656861809,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
111,A0,0.08874196237076297,-0.6472539650619491,0.08850974217876485,-0.5698184514503406,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
112,A0,-0.029106011331721027,-0.6336486100463526,-0.02909779496743207,-0.56055945101844,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
113,A0,-0.1538721220752514,-0.5979652177206576,-0.1526691228806734,-0.5356000792070703,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
114,A0,-0.28163653552488965,-0.544052370668619,-0.27441905401156047,-0.49604932813194197,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
115,A0,-0.40424860434293897,-0.474806989409312,-0.3835783523270534,-0.4420750788382016,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
116,A0,-0.5101349914904285,-0.392763530611722,-0.470050371084029,-0.37374019581379875,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
117,A0,-0.5884245105143598,-0.3001962502546822,-0.528761552896691,-0.2914921980441733,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
118,A0,-0.6337452941147879,-0.19869636285447465,-0.5606257507584878,-0.19612214715507464,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
119,A0,-0.647255418397431,-0.08891698075863118,-0.5698194328970538,-0.08868338678537989,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
120,A0,-0.633687615761358,0.028919024210516564,-0.5605861995037401,0.028910965150448713,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
121,A0,-0.5980348836369371,0.15367655136398664,-0.5356497583861908,0.15247810480347068,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
122,A0,-0.544147672838921,0.2814414607505341,-0.4961211763830004,0.27423865984788925,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
123,A0,-0.47492386975235806,0.40406982767157423,-0.44216911235280826,0.3834258690329999,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
124,A0,-0.39289822875645697,0.5099911530651905,-0.37385607325389925,0.4699383058017634,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
125,A0,-0.3003456649495637,0.5883290193557335,-0.29162891136053515,0.5286927565211276,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
126,A0,-0.19885878432468163,0.6337010034009645,-0.1962783162865905,0.5605953799164998,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
127,A0,-0.08909197964988808,0.6472568050240743,-0.08885700665905072,0.5698203692933479,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
128,A0,0.028732053908086988,0.633726567503667,0.02872415011835676,0.5606129098095103,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
129,A0,0.15348098824830578,0.5981045051618523,0.15228708275294617,0.5356994022055375,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
130,A0,0.28124637396525387,0.5442429377571121,0.2740582352732673,0.49619298975984283,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
131,A0,0.40389101059369653,0.4750407191443408,0.3832733303619273,0.44226311125130974,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
132,A0,0.5098472473745961,0.3930329016843823,0.4698261729509001,0.3739719173338276,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
133,A0,0.588233448062803,0.3004950584459254,0.5286238954574634,0.29176559336927127,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
134,A0,0.6336566361067795,0.19902118617967118,0.5605649550500313,0.19643445660280373,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
135,A0,0.6472581271111827,0.08926695928244652,0.5698212621043752,0.08903060202722463,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
136,A0,0.6337654669025267,-0.02854510049941643,0.5606395830577424,-0.028537349959651317,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
137,A0,0.5981740834856533,-0.1532854330688089,0.5357490115207425,-0.15209605707674081,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
138,A0,0.5443381662696545,-0.2810512757308179,0.49626476890808885,-0.2738777808143981,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
139,A0,0.47515753816618167,-0.40371215381822223,0.4423570760076113,-0.38312073690997356,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
140,A0,0.3931675497761248,-0.5097032751648911,0.3740877283850592,-0.46971397309334306,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
141,A0,0.3006444309783256,-0.5881377973137812,0.29190224428548156,-0.5285549701771387,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
142,A0,0.19918356854830982,-0.6336121927874871,0.19659056822392515,-0.5605344765320468,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
143,A0,0.08944191970439638,-0.6472593850871093,0.08920417292901503,-0.5698221116196008,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
144,A0,-0.028358164005596348,-0.6338043142785493,-0.028350564708974818,-0.5606662194729568,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
145,A0,-0.15308988591190897,-0.5982436188428185,-0.15190502787425306,-0.5357985865057925,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
146,A0,-0.2808561661924075,-0.5444333585423959,-0.27369729661283543,-0.49633651396016987,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
147,A0,-0.40353325752669755,-0.47527432692971666,-0.3829680888235931,-0.4424510067181697,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
148,A0,-0.5095592366150434,-0.3933021731036662,-0.46960170634912823,-0.3742035064735144,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
149,A0,-0.588042067252482,-0.3007937825915991,-0.5284859807666354,-0.2920388641506531,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
150,A0,-0.6335676735453877,-0.19934593145642432,-0.5605039444249209,-0.19674665117108966,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
151,A0,-0.6472605790237176,-0.08961686092489149,-0.5698229178877404,-0.0893777193649123,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
152,A0,-0.633843109684361,0.028171244436744222,-0.5606928190958923,0.028163794389998748,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
153,A0,-0.5983131112720947,0.15289434681202846,-0.5358481271950895,0.15171399519410755,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
154,A0,-0.5445285146017984,0.2806610454099615,-0.49640822494343,0.2735167827313336,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
155,A0,-0.4753910854507107,0.4033543217927521,-0.4425449034021488,0.3828153861572321,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
156,A0,-0.3934367716757683,0.5094151317879381,-0.37431925161072943,0.4694893727478679,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
157,A0,-0.3009431132917114,0.5879462579133503,-0.2921754529707128,0.5284169272336342,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
158,A0,-0.19950827490872572,0.6335230783900565,-0.19690270544513558,0.560473358727432,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
159,A0,-0.08979178294510255,0.6472617089198733,-0.08955124132749456,0.5698236809082047,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
160,A0,0.027984341800732615,0.6338818531177047,0.02797703902414529,0.5607193819296472,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
161,A0,0.15269881579293912,0.5983825607721405,0.15152295907453067,0.5358976335944481,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
162,A0,0.2804659134259617,0.5446236344457765,0.27333623921652667,0.4964799018636934,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
163,A0,0.40317534666793337,0.47550781372525136,0.38266262894653064,0.4426387660628858,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
164,A0,0.5092709607227268,0.3935713454882401,0.46937697230069275,0.3744349637971036,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
165,A0,0.5878503693084736,0.3010924230766606,0.5283478095696961,0.2923120107443037,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
166,A0,0.6334784073120995,0.19967059890559546,0.5604427194253353,0.19705873104274532,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
167,A0,0.6472627747594951,0.089966685764566,0.5698244006703009,0.08972473880772659,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
168,A0,0.6339205445650782,-0.027797456104965423,0.5607459079696049,-0.027790298632362084,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
169,A0,0.5984519673334007,-0.1525032928762152,0.535947105703825,-0.15133191955160705,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
170,A0,0.5447187180663978,-0.2802707702793003,0.49655154472237734,-0.27315566611175224,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
171,A0,0.4756245117453958,-0.40299633219927233,0.44273259470047915,-0.3825098172233058,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
172,A0,0.39370589453423444,-0.5091267234537324,0.37455064303075714,-0.4692645050149807,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
173,A0,0.30124171194280774,-0.5877544014453944,0.2924485374685775,-0.5282786277630961,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
174,A0,0.1998329034465251,-0.6334336602982535,0.1972147279597527,-0.560412026501718,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
175,A0,0.09014156938248645,-0.6472637765234389,0.08989821179625206,-0.5698250771612586,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
176,A0,-0.027610587356738617,-0.6339591840106694,-0.027603573235482647,-0.5607723972095605,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
177,A0,-0.15230777808296075,-0.5985213309446334,-0.15114087666096682,-0.5359965435219726,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
178,A0,-0.28007561600811665,-0.5448137654545308,-0.27297506345967537,-0.49662315351999636,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
179,A0,-0.4028172784328775,-0.47574117950237493,-0.3823569510186174,-0.4428263893143663,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
180,A0,-0.5089824200143167,-0.3938404188063573,-0.46915197089737115,-0.3746662893093451,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
181,A0,-0.5876583543307585,-0.3013909798861739,-0.5282093818014519,-0.2925850331403814,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
182,A0,-0.6333888373344809,-0.19999518853082174,-0.5603812799391202,-0.19737069619182124,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
183,A0,-0.6472647141919342,-0.09031643379800446,-0.5698257103678752,-0.09007166028365908,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
184,A0,-0.633997771438188,0.02742373556331365,-0.5607988496429771,0.02741686285429973,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
185,A0,-0.5985906515942474,0.15211227143416328,-0.536045947047393,0.15094983043813087,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
186,A0,-0.544908776600798,0.27988045065037753,-0.4966947282568803,0.2727944313028251,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
187,A0,-0.4758578169872501,0.40263818541467034,-0.44292014990385153,0.3822040303633954,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
188,A0,-0.39397491829709924,0.5088380504376724,-0.37478190263042893,0.4690393699543823,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
189,A0,-0.30154022690270565,0.5875622279710598,-0.29272149775650036,0.5281400716722607,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
190,A0,-0.20015745415775155,0.6333439384065999,-0.19752663573458196,0.5603504797199688,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
191,A0,-0.09049127901025031,0.6472655877450809,-0.0902450842605337,0.5698263002768508,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
192,A0,0.027236900731932953,0.6340363068312383,0.02723016750958077,0.5608252652632413,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
193,A0,0.1519167729507664,0.5986599292705742,0.15075878091858205,0.5360953162785317,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
194,A0,0.27968527424399625,0.5450037514957692,0.27261376968370454,0.4967662689333203,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
