time_s,modulator_m,alpha,phi_rad,stride_half_m,o1,o2,body_x_m,support_legs,LF_contact,LF_lift_m,RM_contact,RM_lift_m,LH_contact,LH_lift_m,RF_contact,RF_lift_m,LM_contact,LM_lift_m,RH_contact,RH_lift_m
14.3,1.0,1.1,0.4,0.065,0.5615752566064416,0.14822370891310516,1.573752981821175,3,0,0.004446711267393154,0,0.004446711267393154,0,0.004446711267393154,1,0.0,1,0.0,1,0.0
14.350000000000001,1.0,1.1,0.4,0.065,0.5597456483380325,-0.09013579327572303,1.573752981821175,3,1,0.0,1,0.0,1,0.0,0,0.002704073798271691,0,0.002704073798271691,0,0.002704073798271691
14.4,1.0,1.1,0.4,0.065,0.4842376957251099,-0.31950466692847146,1.5786609987410152,3,1,0.0,1,0.0,1,0.0,0,0.009585140007854143,0,0.009585140007854143,0,0.009585140007854143
14.450000000000001,1.0,1.1,0.4,0.065,0.3396975833679505,-0.48625184663276366,1.5880561060442304,3,1,0.0,1,0.0,1,0.0,0,0.01458755539898291,0,0.01458755539898291,0,0.01458755539898291
14.5,1.0,1.1,0.4,0.065,0.1350493582252854,-0.5636503877183887,1.6013582406785034,3,1,0.0,1,0.0,1,0.0,0,0.01690951163155166,0,0.01690951163155166,0,0.01690951163155166
14.55,1.0,1.1,0.4,0.065,-0.10423780072809172,-0.5573093388161975,1.616911906010473,3,1,0.0,1,0.0,1,0.0,0,0.016719280164485924,0,0.016719280164485924,0,0.016719280164485924
14.600000000000001,1.0,1.1,0.4,0.065,-0.33134594198847594,-0.47769704860499795,1.6316739351923981,3,1,0.0,1,0.0,1,0.0,0,0.014330911458149938,0,0.014330911458149938,0,0.014330911458149938
14.65,1.0,1.1,0.4,0.065,-0.4932416564468124,-0.32930767825986207,1.64219715663219,3,1,0.0,1,0.0,1,0.0,0,0.009879230347795863,0,0.009879230347795863,0,0.009879230347795863
14.700000000000001,1.0,1.1,0.4,0.065,-0.5654430042743177,-0.12175161897109778,1.6468902442409779,3,1,0.0,1,0.0,1,0.0,0,0.0036525485691329333,0,0.0036525485691329333,0,0.0036525485691329333
14.75,1.0,1.1,0.4,0.065,-0.5546286579595383,0.11830195746946075,1.6468902442409779,3,0,0.0035490587240838223,0,0.0035490587240838223,0,0.0035490587240838223,1,0.0,1,0.0,1,0.0
14.8,1.0,1.1,0.4,0.065,-0.4709229692078908,0.34295755046178394,1.652331114009835,3,0,0.010288726513853519,0,0.010288726513853519,0,0.010288726513853519,1,0.0,1,0.0,1,0.0
14.850000000000001,1.0,1.1,0.4,0.065,-0.3187133210088682,0.499918850451179,1.6622247411427713,3,0,0.01499756551353537,0,0.01499756551353537,0,0.01499756551353537,1,0.0,1,0.0,1,0.0
14.9,1.0,1.1,0.4,0.065,-0.10833765714471572,0.5669560077499161,1.6758991592939412,3,0,0.01700868023249748,0,0.01700868023249748,0,0.01700868023249748,1,0.0,1,0.0,1,0.0
14.950000000000001,1.0,1.1,0.4,0.065,0.13231682238275808,0.5517047597658835,1.691541700463227,3,0,0.016551142792976505,0,0.016551142792976505,0,0.016551142792976505,1,0.0,1,0.0,1,0.0
15.0,1.0,1.1,0.4,0.065,0.35433051965633705,0.46391609822776303,1.7059725907860097,3,0,0.01391748294683289,0,0.01391748294683289,0,0.01391748294683289,1,0.0,1,0.0,1,0.0
15.05,1.0,1.1,0.4,0.065,0.5062832163012793,0.3079177685115984,1.715849516067931,3,0,0.009237533055347953,0,0.009237533055347953,0,0.009237533055347953,1,0.0,1,0.0,1,0.0
15.100000000000001,1.0,1.1,0.4,0.065,0.5681922747118386,0.09481491562826914,1.7198736048646175,3,0,0.002844447468848074,0,0.002844447468848074,0,0.002844447468848074,1,0.0,1,0.0,1,0.0
15.15,1.0,1.1,0.4,0.065,0.5485386869935239,-0.14627082896705998,1.7198736048646175,3,1,0.0,1,0.0,1,0.0,0,0.004388124869011799,0,0.004388124869011799,0,0.004388124869011799
